No.,候補者ＩＤ,氏名（姓）,氏名（名）,かな（姓）,かな（名）,立候補予定選挙区ID,立候補予定選挙区,立候補時党派,政党ID
126,53111,堀川,朗子,ほりかわ,あきこ,50790,比例,日本共産党,4
127,14644,丸本,由美子,まるもと,ゆみこ,50790,比例,日本共産党,4
128,50111,山本,訓子,やまもと,のりこ,50790,比例,日本共産党,4
129,4000,吉田,恭子,よしだ,きょうこ,50790,比例,日本共産党,4
130,53247,渡辺,喜代子,わたなべ,きよこ,50790,比例,日本共産党,4
131,53277,天畠,大輔,てんばた,だいすけ,50790,比例,れいわ新選組,212
132,2224,大島,九州男,おおしま,くすお,50790,比例,れいわ新選組,212
133,979,辻,恵,つじ,めぐむ,50790,比例,れいわ新選組,212
134,3502,高井,崇志,たかい,たかし,50790,比例,れいわ新選組,212
135,52901,キム,テヨン,きむ,てよん,50790,比例,れいわ新選組,212
136,38008,長谷川,羽衣子,はせがわ,ういこ,50790,比例,れいわ新選組,212
137,53049,依田,花蓮,よだ,かれん,50790,比例,れいわ新選組,212
138,53193,水道橋博士,,すいどうばしはかせ,,50790,比例,れいわ新選組,212
139,51378,蓮池,透,はすいけ,とおる,50790,比例,れいわ新選組,212
140,1762,福島,瑞穂,ふくしま,みずほ,50790,比例,社会民主党,5
141,49946,大椿,裕子,おおつばき,ゆうこ,50790,比例,社会民主党,5
142,52935,岡崎,彩子,おかざき,さいこ,50790,比例,社会民主党,5
143,47296,宮城,一郎,みやぎ,いちろう,50790,比例,社会民主党,5
144,53039,村田,峻一,むらた,しゅんいち,50790,比例,社会民主党,5
145,1304,久保,孝喜,くぼ,こうき,50790,比例,社会民主党,5
146,2300,秋葉,忠利,あきば,ただとし,50790,比例,社会民主党,5
147,1376,山口,わか子,やまぐち,わかこ,50790,比例,社会民主党,5
148,51838,齊藤,健一郎,さいとう,けんいちろう,50790,比例,ＮＨＫ党,229
149,48795,黒川,敦彦,くろかわ,あつひこ,50790,比例,ＮＨＫ党,229
150,53090,久保田,学,くぼた,まなぶ,50790,比例,ＮＨＫ党,229
151,53091,山本,太郎,やまもと,たろう,50790,比例,ＮＨＫ党,229
152,53132,西村,斉,にしむら,ひとし,50790,比例,ＮＨＫ党,229
153,53192,東谷,義和,ひがしたに,よしかず,50790,比例,ＮＨＫ党,229
154,53150,添田,真也,そえだ,しんや,50790,比例,ＮＨＫ党,229
155,53256,高橋,理洋,たかはし,りよう,50790,比例,ＮＨＫ党,229
156,53257,上妻,敬二,こうづま,けいじ,50790,比例,ＮＨＫ党,229
157,1791,魚谷,哲央,うおたに,てつおう,50790,比例,維新政党・新風,43
158,37060,釈,量子,しゃく,りょうこ,50790,比例,幸福実現党,85
159,53285,奥野,卓志,おくの,たかし,50790,比例,ごぼうの党,232
160,53286,川村,拓司,かわむら,たくじ,50790,比例,ごぼうの党,232
161,53287,今吉,由泰,いまよし,よしやす,50790,比例,ごぼうの党,232
162,53288,今西,孝太,いまにし,こうた,50790,比例,ごぼうの党,232
163,53289,崎村,峰徳,さきむら,みねのり,50790,比例,ごぼうの党,232
164,53291,首藤,昌弘,しゅとう,まさひろ,50790,比例,ごぼうの党,232
165,53292,高崎,圭悟,たかさき,けいご,50790,比例,ごぼうの党,232
166,53290,斎藤,和干,さいとう,かずとし,50790,比例,ごぼうの党,232
167,53282,鴨田,幸司,かもだ,こうじ,50790,比例,ごぼうの党,232
168,53283,佐藤,玲乃,さとう,れの,50790,比例,ごぼうの党,232
169,53284,立花,恵理子,たちばな,えりこ,50790,比例,ごぼうの党,232
170,5795,松田,学,まつだ,まなぶ,50790,比例,参政党,227
171,52999,吉野,敏明,よしの,としあき,50790,比例,参政党,227
172,48763,赤尾,由美,あかお,ゆみ,50790,比例,参政党,227
173,52954,武田,邦彦,たけだ,くにひこ,50790,比例,参政党,227
174,23977,神谷,宗幣,かみや,そうへい,50790,比例,参政党,227
175,29186,本間,奈々,ほんま,なな,50790,比例,新党くにもり,231
176,53034,三輪,和雄,みわ,かずお,50790,比例,新党くにもり,231
177,47507,桜井,誠,さくらい,まこと,50790,比例,日本第一党,207
178,50324,中村,和弘,なかむら,かずひろ,50790,比例,日本第一党,207
